time;X_value;Y_value;Z_value
0,0017;-0,68716;1,76458;9,91709
0,0063;-0,70871;1,78613;9,92188
0,0063;-0,72307;1,80289;9,91469
0,008;-0,76856;1,81007;9,90272
0,0134;-0,85236;1,73824;9,84286
0,0137;-0,85236;1,73824;9,84286
0,0137;-0,88588;1,69994;9,81892
0,0157;-0,89306;1,69994;9,81653
0,0175;-0,8787;1,7167;9,82371
0,0193;-0,85715;1,77895;9,81174
0,0221;-0,84278;1,80768;9,79737
0,024;-0,79969;1,85796;9,77582
0,0257;-0,77814;1,89387;9,70878
0,0273;-0,78532;1,90584;9,6585
0,033;-0,71349;1,8819;9,44063
0,033;-0,69195;1,87232;9,39274
0,0337;-0,69195;1,87232;9,39274
0,0355;-0,64167;1,85077;9,28979
0,0376;-0,57702;1,82923;9,23951
0,0393;-0,54589;1,77176;9,15331
0,0419;-0,47885;1,7167;9,06712
0,0452;-0,45012;1,69275;9,03839
0,0466;-0,39506;1,65205;9,00966
0,0479;-0,32802;1,60656;8,9929
0,0537;-0,19872;1,60656;8,99768
0,0537;-0,19872;1,60656;8,99768
0,0537;-0,1652;1,62092;9,00726
0,056;-0,14126;1,64487;9,00487
0,0579;-0,09817;1,65923;9,0336
0,06;-0,06943;1,65444;9,05754
0,062;-0,0431;1,68557;9,10543
0,0644;-0,03831;1,7143;9,17247
0,0658;-0,04789;1,73585;9,21078
0,068;-0,06704;1,78613;9,31852
0,0736;-0,0431;1,90824;9,62498
0,0736;-0,0431;1,90824;9,62498
0,0736;-0,03352;1,92739;9,71597
0,0758;-0,00958;1,94655;9,81653
0,0781;0,0407;2,01837;10,00089
0,0796;0,10535;2,06626;10,15891
0,0821;0,14366;2,08302;10,23792
0,0844;0,2083;2,11893;10,3696
0,0868;0,31365;2,09978;10,46298
0,0874;0,35675;2,08781;10,50368
0,0932;0,43097;2,05189;10,59227
0,0934;0,43097;2,05189;10,59227
0,0937;0,43815;2,06386;10,60185
0,0958;0,42618;2,06865;10,61621
0,0977;0,40942;2,06386;10,61143
0,0993;0,37111;2,08302;10,59467
0,1014;0,27055;2,12133;10,57791
0,1037;0,20591;2,1333;10,55636
0,1057;0,06943;2,16203;10,52523
0,1075;-0,09338;2,1764;10,49889
0,1135;-0,4621;2,24104;10,33369
0,1135;-0,4621;2,24104;10,33369
0,1135;-0,4621;2,24104;10,33369
0,1158;-0,62969;2,26977;10,25947
0,1178;-0,74462;2,30329;10,1613
0,1194;-0,80448;2,31766;10,11581
0,1221;-0,7925;2,36554;9,99131
0,1238;-0,69913;2,39667;9,82131
0,1268;-0,74223;2,41103;9,75428
0,1277;-0,83321;2,44455;9,60583
0,1343;-0,98644;2,52596;9,38795
0,1343;-0,98644;2,52596;9,38795
0,1343;-0,99123;2,5499;9,31612
0,1355;-0,98405;2,56427;9,23951
0,1376;-0,9218;2,58103;9,10782
0,1399;-0,88109;2,59539;9,04318
0,1418;-0,838;2,59539;8,97853
0,145;-0,80687;2,60976;8,93783
0,147;-0,78772;2,60497;8,92825
0,1481;-0,68716;2,59539;8,85882
0,1598;-0,54111;2,58821;8,74868
0,1599;-0,54111;2,58821;8,74868
0,1599;-0,48364;2,58103;8,71756
0,1599;-0,34478;2,57385;8,66009
0,1599;-0,2514;2,57385;8,59784
0,1599;-0,02155;2,54751;8,4877
0,1633;0,08619;2,55948;8,46137
0,1653;0,30647;2,56906;8,39672
0,1656;0,48604;2,54751;8,33686
0,1684;0,56984;2,52835;8,30574
0,1749;0,79011;2,42301;8,10941
0,1749;0,79011;2,39906;8,10941
0,1749;0,79011;2,39906;8,10941
0,1758;0,81884;2,37033;8,03519
0,1782;0,78532;2,37512;7,9873
0,18;0,77575;2,37033;7,9466
0,1817;0,7542;2,33921;7,88195
0,1871;0,71589;2,32724;7,86519
0,1872;0,64885;2,28414;7,84125
0,1881;0,65603;2,28893;7,83407
0,195;0,84997;2,46131;7,80294
0,195;0,84997;2,46131;7,80294
0,195;0,91461;2,48286;7,82449
0,1964;0,94813;2,48286;7,87477
0,198;0,98644;2,45653;7,99927
0,2001;1,0056;2,46131;8,06392
0,2016;1,05588;2,45892;8,13575
0,2049;1,14686;2,48047;8,16208
0,206;1,18277;2,49483;8,18363
0,2077;1,22347;2,52357;8,20757
0,2143;1,19714;2,54033;8,34644
0,2143;1,19714;2,54033;8,34644
0,2143;1,16122;2,54033;8,39672
0,216;1,14207;2,52357;8,43742
0,2179;1,06545;2,48047;8,54038
0,2198;0,9625;2,45653;8,61939
0,2219;0,91701;2,45174;8,64812
0,224;0,85715;2,40864;8,71516
0,2255;0,81166;2,36075;8,75586
0,2278;0,7949;2,35357;8,76305
0,2334;0,80926;2,32724;8,77502
0,2335;0,80926;2,32724;8,77502
0,2354;0,81645;2,32245;8,78938
0,2356;0,78053;2,35118;8,87558
0,2376;0,75899;2,3416;8,93064
0,24;0,74223;2,34878;9,02642
0,2418;0,72547;2,37751;9,12219
0,2433;0,70152;2,3847;9,19162
0,245;0,65124;2,43737;9,3664
0,2473;0,61054;2,46371;9,56992
0,2547;0,52674;2,53554;9,96976
0,2547;0,52674;2,53793;9,96976
0,2548;0,52674;2,53793;9,96976
0,2558;0,51237;2,56427;10,19003
0,2575;0,48843;2,58582;10,41031
0,2598;0,47885;2,60497;10,53002
0,2618;0,46928;2,6337;10,75029
0,2649;0,48364;2,66483;10,94662
0,2657;0,46928;2,69835;11,03521
0,2678;0,46449;2,77975;11,17647
0,2757;0,44534;2,96172;11,28901
0,2762;0,44534;2,96172;11,28901
0,2762;0,42139;2,99045;11,26506
0,2763;0,40942;3,02157;11,23394
0,2782;0,35435;3,07664;11,14056
0,2798;0,25619;3,12932;11,00409
0,2832;0,19872;3,13411;10,92268
0,2872;0,01915;3,12692;10,73114
0,2872;-0,06943;3,11735;10,61861
0,291;-0,22027;3,11256;10,37679
0,2943;-0,47646;3,1772;9,85005
0,2944;-0,47646;3,1772;9,85005
0,2944;-0,5435;3,18439;9,7447
0,2965;-0,65843;3,21791;9,59625
0,2989;-0,72307;3,21072;9,53879
0,3006;-0,84997;3,18199;9,46217
0,3038;-0,97447;3,15565;9,43823
0,3055;-1,02236;3,08622;9,32809
0,3055;-1,07982;2,98805;9,14134
0,3088;-1,10137;2,93778;9,04318
0,3136;-1,13728;2,60018;8,56193
0,3136;-1,13489;2,47089;8,41109
0,3138;-1,13489;2,47089;8,41109
0,3161;-1,03912;2,26977;8,1549
0,3192;-0,83321;2,13809;7,91068
0,3204;-0,67758;2,12851;7,8221
0,322;-0,27774;2,12612;7,71196
0,3239;-0,05746;2,15964;7,69041
0,3255;0,40463;2,26977;7,68323
