time;X_value;Y_value;Z_value
0;0;0;0
0,0092;-2,39899;2,48997;9,20601
0,0092;-2,39899;2,48997;9,20601
0,0092;-2,39899;2,51391;9,127
0,0092;-2,40378;2,52588;9,04559
0,0102;-2,39899;2,53307;8,88758
0,0131;-2,37026;2,54264;8,78463
0,014;-2,3535;2,54743;8,76308
0,0171;-2,30322;2,53307;8,74871
0,0195;-2,26491;2,52349;8,75829
0,0227;-2,17872;2,52349;8,80138
0,0257;-1,98719;2,478;8,88039
0,0257;-1,98719;2,478;8,88039
0,0262;-1,9417;2,4756;8,89236
0,0283;-1,84114;2,4756;8,89236
0,0301;-1,79086;2,4756;8,86603
0,0319;-1,68791;2,44448;8,82054
0,0359;-1,65679;2,43969;8,7942
0,0377;-1,58736;2,42533;8,75111
0,0382;-1,53229;2,44687;8,71041
0,0404;-1,50835;2,44209;8,68886
0,0462;-1,4054;2,49476;8,64576
0,0462;-1,4054;2,49476;8,64576
0,0462;-1,38145;2,52588;8,66013
0,0484;-1,33596;2,61207;8,70083
0,0556;-1,31681;2,65756;8,72716
0,0556;-1,30963;2,77009;8,80138
0,0556;-1,29526;2,90177;8,93067
0,0564;-1,28329;2,9736;9,01686
0,0583;-1,26893;3,13162;9,22755
0,0602;-1,26893;3,31118;9,42867
0,0662;-1,30723;3,45483;9,77343
0,0662;-1,30723;3,45483;9,77343
0,0663;-1,30723;3,45483;9,77343
0,0689;-1,38864;3,45244;9,89314
0,0701;-1,47243;3,36385;10,00327
0,0723;-1,52511;3,304;10,0344
0,0743;-1,63045;3,16274;10,10383
0,0765;-1,72861;2,99275;10,17566
0,0805;-1,78129;2,90656;10,1972
0,0815;-1,8986;2,75094;10,25945
0,0859;-2,13563;2,46124;10,44141
0,0859;-2,13563;2,46124;10,44141
0,086;-2,1883;2,41575;10,4893
0,0883;-2,23379;2,36787;10,53
0,09;-2,31519;2,28407;10,59704
0,092;-2,38941;2,22421;10,63056
0,0952;-2,41575;2,19069;10,64253
0,0967;-2,45645;2,11408;10,62577
0,1002;-2,53067;1,98958;10,54436
0,1003;-2,5594;1,92254;10,50127
0,1057;-2,5618;1,78368;10,37198
0,1057;-2,5618;1,78368;10,37198
0,1062;-2,55701;1,79326;10,35762
0,108;-2,52109;1,84832;10,35043
0,11;-2,49476;1,90339;10,35043
0,112;-2,42293;2,04225;10,34804
0,1139;-2,33914;2,20506;10,34086
0,1159;-2,30083;2,29604;10,33367
0,1179;-2,21224;2,46363;10,281
0,1208;-2,0662;2,54025;10,2403
