time;X_value;Y_value;Z_value
0,0032;-1,07742;1,925;9,92906
0,0032;-1,05827;1,95852;10,02004
0,0066;-1,04869;1,96809;10,06793
0,0076;-1,0463;1,98725;10,11581
0,009;-1,03912;1,98964;10,13496
0,0168;-1,0056;2,01359;10,15412
0,0186;-1,0056;2,01359;10,15412
0,0186;-1,0032;2,02316;10,13975
0,0186;-1,02236;2,00401;10,0799
0,0192;-1,03672;2,01359;10,02004
0,0218;-1,0463;2,0088;9,98891
0,0234;-1,06785;2,0064;9,91469
0,0265;-1,08221;1,99443;9,87878
0,0284;-1,10376;1,96809;9,80455
0,0288;-1,11813;1,96331;9,7423
0,0354;-1,15883;1,925;9,64174
0,0355;-1,16841;1,91063;9,61541
0,0355;-1,18756;1,91542;9,59625
0,0373;-1,20671;1,9226;9,57471
0,0394;-1,23784;1,91303;9,52921
0,0411;-1,27375;1,90345;9,52203
0,0432;-1,29291;1,89866;9,53879
0,0463;-1,32164;1,90105;9,534
0,048;-1,3384;1,90824;9,54597
0,0495;-1,34558;1,92979;9,56513
0,0561;-1,39586;1,91542;9,55316
0,0561;-1,39586;1,91542;9,55316
0,0562;-1,40065;1,90824;9,534
0,0574;-1,39586;1,90345;9,48612
0,0592;-1,3815;1,89866;9,4502
0,0612;-1,36713;1,90584;9,37598
0,0635;-1,35037;1,89387;9,33288
0,065;-1,30488;1,86753;9,26584
0,0671;-1,28812;1,8819;9,21078
0,0687;-1,29291;1,88908;9,19402
0,0748;-1,23545;1,91542;9,09346
0,0749;-1,23545;1,91542;9,09346
0,0754;-1,22587;1,94176;9,06233
0,0776;-1,19953;1,97288;9,01923
0,0797;-1,19714;1,97528;9,00008
0,0812;-1,14207;2,01359;8,97374
0,083;-1,10376;2,06626;8,93304
0,0859;-1,08221;2,08541;8,92586
0,0877;-1,0439;2,14288;8,91867
0,0892;-1,0032;2,19076;8,91867
0,0949;-0,92658;2,26259;8,91149
0,0949;-0,92419;2,28414;8,91867
0,0949;-0,91701;2,28414;8,93064
0,0973;-0,90025;2,31766;8,95459
0,0991;-0,87152;2,34639;8,97853
0,1029;-0,85954;2,36315;8,99768
0,104;-0,87391;2,39667;9,0312
0,106;-0,88588;2,39667;9,0767
0,1072;-0,89785;2,40146;9,09585
0,1098;-0,9194;2,40385;9,13176
